Date,Close
12/12/2016,77.88
12/13/2016,79.39
12/14/2016,78.95
12/15/2016,79.43
12/16/2016,77.86
12/19/2016,77.5
12/20/2016,78.3
12/21/2016,77.25
12/22/2016,74.55
12/23/2016,76.02
12/27/2016,76.88
12/28/2016,75.22
12/29/2016,74.94
12/30/2016,74.34
1/3/2017,75.66
1/4/2017,78.83
1/5/2017,79.13
1/6/2017,82.1
1/9/2017,82
1/10/2017,81.67
1/11/2017,83.9
1/12/2017,83.46
1/13/2017,83.53
1/17/2017,81.41
1/18/2017,82.85
1/19/2017,82.7
1/20/2017,83.4
1/23/2017,83.25
1/24/2017,83.97
1/25/2017,86.36
1/26/2017,89.48
1/27/2017,90.09
1/30/2017,90.12
1/31/2017,90.62
2/1/2017,89.7
2/2/2017,88.86
2/3/2017,89.47
2/6/2017,90.5
2/7/2017,90.66
2/8/2017,90.09
2/9/2017,92.3
2/10/2017,92.46
2/13/2017,91.74
2/14/2017,92.89
2/15/2017,93.97
2/16/2017,91.85
2/17/2017,92.74
2/21/2017,93.18
2/22/2017,92.98
2/23/2017,92.65
2/24/2017,91.82
2/27/2017,87.75
2/28/2017,86.92
3/1/2017,88.89
3/2/2017,86.34
3/3/2017,86.47
3/6/2017,86.26
3/7/2017,87.06
3/8/2017,87.29
3/9/2017,87.83
3/10/2017,88.03
3/13/2017,88.64
3/14/2017,87.47
3/15/2017,88.41
3/16/2017,88.8
3/17/2017,88.71
3/20/2017,88.11
3/21/2017,83.93
3/22/2017,85.04
3/23/2017,84.4
3/24/2017,84.81
3/27/2017,84.87
3/28/2017,86
3/29/2017,87.61
3/30/2017,86.94
3/31/2017,87.47
4/3/2017,86.22
4/4/2017,85.29
4/5/2017,85.66
4/6/2017,86.19
4/7/2017,86.02
4/10/2017,85.53
4/11/2017,85.39
4/12/2017,84.49
4/13/2017,84.64
4/17/2017,86.41
4/18/2017,87.6
4/19/2017,88.15
4/20/2017,88.26
4/21/2017,88.32
4/24/2017,89.42
4/25/2017,90.24
4/26/2017,90.92
4/27/2017,94.33
4/28/2017,94.48
5/1/2017,94.93
5/2/2017,94.96
5/3/2017,94.11
5/4/2017,96.02
5/5/2017,98.07
5/8/2017,97.9
5/9/2017,97.33
5/10/2017,96.47
5/11/2017,96.76
5/12/2017,96.9
5/15/2017,97.95
5/16/2017,100.18
5/17/2017,98.55
5/18/2017,98.97
5/19/2017,99.3
5/22/2017,101.7
5/23/2017,101.7
5/24/2017,103
5/25/2017,104.52
5/26/2017,106.03
5/30/2017,105.36
5/31/2017,104.65
6/1/2017,106.51
6/2/2017,107.3
6/5/2017,107.43
6/6/2017,107.87
6/7/2017,108.19
6/8/2017,109.68
6/9/2017,103.74
6/12/2017,102.32
6/13/2017,102.22
6/14/2017,102.16
6/15/2017,101.26
6/16/2017,101.2
6/19/2017,103.6
6/20/2017,103.01
6/21/2017,105.62
6/22/2017,106.93
6/23/2017,107.79
6/26/2017,108.35
6/27/2017,106.77
6/28/2017,108.81
6/29/2017,105.82
6/30/2017,106
7/3/2017,103.58
7/5/2017,105.11
7/6/2017,104.54
7/7/2017,106.29
7/10/2017,108.19
7/11/2017,109.2
7/12/2017,112.26
